borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,19-40 81ST SREET,11370,1.0,0.0,1,1945.0,935000.0,2021-12-08,2021,2021-12
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,21-14 81ST STREET,11370,1.0,0.0,1,1950.0,800000.0,2021-01-11,2021,2021-01
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,21-42 81ST ST,11370,1.0,0.0,1,1950.0,815000.0,2021-06-25,2021,2021-06
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,21-19 80TH STREET,11370,1.0,0.0,1,1950.0,950000.0,2021-08-17,2021,2021-08
Queens,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,21-31 80TH STREET,11370,2.0,0.0,2,1950.0,805000.0,2021-12-06,2021,2021-12
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,339 BEACH 40 STREET,11691,1.0,0.0,1,1920.0,397000.0,2021-07-09,2021,2021-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,339 BEACH 43RD ST,11691,1.0,0.0,1,1920.0,270000.0,2021-12-29,2021,2021-12
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,340 BEACH 45 STREET,11691,1.0,0.0,1,1920.0,470000.0,2021-11-22,2021,2021-11
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,355 BEACH 44 STREET,11691,1.0,0.0,1,1920.0,735000.0,2021-04-30,2021,2021-04
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,353 BEACH 47TH STREET,11691,1.0,0.0,1,1920.0,431325.0,2021-05-21,2021,2021-05
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,40-13 ROCKAWAY BEACH BLVD,11691,1.0,0.0,1,1920.0,570000.0,2021-06-21,2021,2021-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,3-52 BEACH 68 STREET,11692,1.0,0.0,1,1925.0,205000.0,2021-06-03,2021,2021-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,4-11 BEACH 35,11691,1.0,0.0,1,1910.0,280000.0,2021-07-20,2021,2021-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,403 BEACH 35,11691,1.0,0.0,1,2003.0,499000.0,2021-10-04,2021,2021-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,528 BEACH 44 STREET,11691,1.0,0.0,1,2004.0,383000.0,2021-07-06,2021,2021-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,446 BEACH 45 STREET,11691,1.0,0.0,1,1899.0,180000.0,2021-02-18,2021,2021-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,440 BEACH 46 STREET,11691,1.0,0.0,1,1920.0,456000.0,2021-07-14,2021,2021-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,456 BEACH 46 STREET,11691,1.0,0.0,1,1920.0,420000.0,2021-09-24,2021,2021-09
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,467 BEACH 45 ST,11691,1.0,0.0,1,1920.0,375000.0,2021-09-20,2021,2021-09
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,457 BEACH 46 STREET,11691,1.0,0.0,1,2004.0,387462.0,2021-12-07,2021,2021-12
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,448 BEACH 47 STREET,11691,1.0,0.0,1,2005.0,490000.0,2021-05-28,2021,2021-05
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,65-08 ALMEDA AVENUE,11692,1.0,0.0,1,1960.0,448000.0,2021-02-24,2021,2021-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,5-48 BEACH 65 STREET,11692,1.0,0.0,1,1960.0,470000.0,2021-07-07,2021,2021-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,555 BEACH 66TH STREET,11692,1.0,0.0,1,1965.0,505000.0,2021-02-04,2021,2021-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,538 BEACH 68TH,11692,1.0,0.0,1,1950.0,505000.0,2021-07-14,2021,2021-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,563 BEACH 67 STREET,11692,1.0,0.0,1,1950.0,441000.0,2021-03-04,2021,2021-03
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,534 BEACH 69TH STREET,11692,1.0,0.0,1,1931.0,335000.0,2021-03-04,2021,2021-03
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,534 BEACH 69TH STREET,11692,1.0,0.0,1,1931.0,505000.0,2021-09-22,2021,2021-09
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,437 BEACH 64 STREET,11692,1.0,0.0,1,1960.0,499550.0,2021-04-23,2021,2021-04
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,6909 BAYFIELD AVENUE,11692,1.0,0.0,1,1930.0,320000.0,2021-03-02,2021,2021-03
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,6922 ALMEDA AVE,11692,1.0,0.0,1,1920.0,540000.0,2021-06-29,2021,2021-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,72-26 BURCHELL AVENUE,11692,1.0,0.0,1,1930.0,380000.0,2021-03-24,2021,2021-03
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,72-42 THURSBY AVENUE,11692,1.0,0.0,1,1930.0,230000.0,2021-03-09,2021,2021-03
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,315 BEACH 38TH STREET,11691,2.0,0.0,2,1920.0,730000.0,2021-12-15,2021,2021-12
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,318 BEACH 44 STREET,11691,2.0,0.0,2,1920.0,645000.0,2021-10-29,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,347 BEACH 43 STREET,11691,2.0,0.0,2,1920.0,350000.0,2021-01-30,2021,2021-01
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,361 BEACH 44 STREET,11691,2.0,0.0,2,1920.0,700000.0,2021-01-29,2021,2021-01
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,326 BEACH 46TH ST,11691,2.0,0.0,2,1925.0,593600.0,2021-05-13,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,325 BEACH 46TH STREET,11691,2.0,0.0,2,1960.0,619000.0,2021-03-03,2021,2021-03
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,57-21 ARVERNE BOULEVARD,11692,2.0,0.0,2,2003.0,645000.0,2021-08-12,2021,2021-08
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,195 BEACH 61ST STREET,11692,2.0,0.0,2,1955.0,779000.0,2021-11-05,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,186 WHITE SANDS WAY,11692,2.0,0.0,2,2011.0,860000.0,2021-09-10,2021,2021-09
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,161 SEA GRASS LANE,11692,2.0,0.0,2,2010.0,300000.0,2021-04-29,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,65-15 OCEAN AVENUE NORTH,11692,2.0,0.0,2,2012.0,998000.0,2021-07-09,2021,2021-07
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,6407 OCEAN AVENUE N,11692,2.0,0.0,2,2014.0,999000.0,2021-10-26,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,65-14 OCEAN AVENUE SOUTH,11692,2.0,0.0,2,2011.0,935000.0,2021-04-15,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,65-18 SEASPRAY AVENUE,11692,2.0,0.0,2,2011.0,980000.0,2021-01-26,2021,2021-01
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,6520 BEACH FRONT ROAD,11692,2.0,0.0,2,2014.0,1200000.0,2021-10-28,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,350 BEACH 68,11692,2.0,0.0,2,1910.0,375000.0,2021-12-16,2021,2021-12
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,318 BEACH 69TH STREET,11692,2.0,0.0,2,1910.0,450000.0,2021-07-28,2021,2021-07
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,340 BEACH 69 STREET,11692,2.0,0.0,2,1925.0,780000.0,2021-07-26,2021,2021-07
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,68-03 BEACH CHANNEL DRIVE,11692,2.0,0.0,2,1920.0,699999.0,2021-05-06,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,112 BEACH 61ST STREET,11692,2.0,0.0,2,1970.0,767000.0,2021-11-23,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,410 BEACH 38TH STREET,11691,2.0,0.0,2,1920.0,720000.0,2021-11-17,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,553 BEACH 43 STREET,11691,2.0,0.0,2,2006.0,758100.0,2021-10-18,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,412 BEACH 44 STREET,11691,2.0,0.0,2,1899.0,499000.0,2021-10-08,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,441 BEACH 43 STREET,11691,2.0,0.0,2,1931.0,498000.0,2021-08-05,2021,2021-08
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,484 BEACH 44TH STREET,11691,2.0,0.0,2,2004.0,800000.0,2021-09-24,2021,2021-09
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,474 BEACH 45TH STREET,11691,2.0,0.0,2,2004.0,595000.0,2021-07-01,2021,2021-07
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,434 BEACH 48 STREET,11691,2.0,0.0,2,1960.0,640000.0,2021-11-22,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,62-52 HILLMEYER ROAD,11692,2.0,0.0,2,2019.0,679000.0,2021-02-02,2021,2021-02
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,6246 HILLMEYER ROAD,11692,2.0,0.0,2,2019.0,687319.0,2021-10-26,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,62-10 ELIZABETH ROAD,11692,2.0,0.0,2,2004.0,663000.0,2021-04-19,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,62-17 BURCHELL ROAD,11692,2.0,0.0,2,2004.0,514507.0,2021-07-13,2021,2021-07
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,638 BEACH 64TH STREET,11692,2.0,0.0,2,1996.0,505000.0,2021-10-13,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,617 BEACH 64TH STREET,11692,2.0,0.0,2,1994.0,635000.0,2021-03-29,2021,2021-03
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,609 BEACH 64 STREET,11692,2.0,0.0,2,1994.0,650000.0,2021-08-03,2021,2021-08
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,65-05A BAYFIELD AVENUE,11692,2.0,0.0,2,2003.0,720000.0,2021-04-15,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,616 BEACH 67TH STREET,11692,2.0,0.0,2,1940.0,680000.0,2021-05-20,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,615 BEACH 66 STREET,11692,2.0,0.0,2,2001.0,640000.0,2021-01-29,2021,2021-01
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,626 BEACH 69TH STREET,11692,2.0,0.0,2,1960.0,605000.0,2021-12-01,2021,2021-12
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,565 BEACH 63 STREET,11692,2.0,0.0,2,2002.0,675000.0,2021-05-25,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,535 BEACH 63 STREET,11692,2.0,0.0,2,2000.0,625000.0,2021-04-22,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,5-17 BEACH 65TH STREET,11692,2.0,0.0,2,1955.0,466000.0,2021-04-08,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,65-08 THURSBY AVENUE,11692,2.0,0.0,2,1950.0,547000.0,2021-04-13,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,544 BEACH 67 STREET,11692,2.0,0.0,2,1975.0,525000.0,2021-02-18,2021,2021-02
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,550 BEACH 67TH STREET,11692,2.0,0.0,2,1920.0,685000.0,2021-06-15,2021,2021-06
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,66-07 ALMEDA AVENUE,11692,2.0,0.0,2,1965.0,485000.0,2021-12-14,2021,2021-12
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,428 BEACH 64TH STREET,11692,2.0,0.0,2,1940.0,569999.0,2021-05-10,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,466 BEACH 64TH STREET,11692,2.0,0.0,2,1940.0,662500.0,2021-05-06,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,469 BEACH 63RD STREET,11692,2.0,0.0,2,1940.0,728000.0,2021-04-09,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,459 BEACH 63RD STREET,11692,2.0,0.0,2,1940.0,694000.0,2021-09-27,2021,2021-09
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,6418 BEACH CHANNEL DRIVE,11692,2.0,0.0,2,2004.0,681000.0,2021-11-17,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,434 BEACH 65TH STREET,11692,2.0,0.0,2,1910.0,463000.0,2021-10-15,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,4-50 BEACH 68 STREET,11692,2.0,0.0,2,1950.0,693000.0,2021-11-10,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,465 BEACH 67TH STREET,11692,2.0,0.0,2,1920.0,590000.0,2021-04-23,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-33 BAYFIELD AVENUE,11692,2.0,0.0,2,1950.0,350007.0,2021-06-15,2021,2021-06
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-07 BAYFIELD AVE,11692,2.0,0.0,2,2001.0,505000.0,2021-10-06,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-12 DECOSTA AVENUE,11692,2.0,0.0,2,1950.0,575000.0,2021-05-28,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-36 DECOSTA AVENUE,11692,2.0,0.0,2,1950.0,515000.0,2021-04-07,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-52 DE COSTA AVENUE,11692,2.0,0.0,2,1950.0,408000.0,2021-11-30,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-49 DE COSTA AVENUE,11692,2.0,0.0,2,1940.0,649000.0,2021-02-25,2021,2021-02
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-47 DE COSTA AVE,11692,2.0,0.0,2,1940.0,679000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-35 DECOSTA AVENUE,11692,2.0,0.0,2,1940.0,525000.0,2021-04-09,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,6956 HILLMEYER AVENUE,11692,2.0,0.0,2,1940.0,410000.0,2021-09-14,2021,2021-09
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,6959 HILLMEYER AVE,11692,2.0,0.0,2,1940.0,290000.0,2021-04-26,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-41 HILLMEYER AVENUE,11692,2.0,0.0,2,1940.0,508300.0,2021-03-18,2021,2021-03
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-32 ALMEDA AVENUE,11692,2.0,0.0,2,1920.0,260925.0,2021-01-26,2021,2021-01
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-32 ALMEDA AVENUE,11692,2.0,0.0,2,1920.0,585000.0,2021-08-11,2021,2021-08
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,6963 ALMEDA AVE,11692,2.0,0.0,2,2002.0,785000.0,2021-05-17,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,561 BEACH 69 STREET,11692,2.0,0.0,2,1920.0,725000.0,2021-12-23,2021,2021-12
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,427 BEACH 69 STREET,11692,2.0,0.0,2,1920.0,925000.0,2021-08-06,2021,2021-08
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,417 BEACH 69TH STREET,11692,2.0,0.0,2,1915.0,815000.0,2021-09-08,2021,2021-09
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,69-04 BEACH CHANNEL DRIVE,11692,2.0,0.0,2,2006.0,736000.0,2021-10-21,2021,2021-10
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,72-10 ALMEDA AVENUE,11692,2.0,0.0,2,1998.0,710000.0,2021-12-13,2021,2021-12
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,72-18 ALMEDA AVENUE,11692,2.0,0.0,2,1997.0,590000.0,2021-08-18,2021,2021-08
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,74-19 HILLMEYER AVENUE,11692,2.0,0.0,2,2020.0,794235.0,2021-02-10,2021,2021-02
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,74-17 HILLMEYER AVENUE,11692,2.0,0.0,2,2019.0,794235.0,2021-02-10,2021,2021-02
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,74-13 HILLMEYER AVENUE,11692,2.0,0.0,2,2019.0,794235.0,2021-02-16,2021,2021-02
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,N/A ALMEDA AVENUE,11692,2.0,0.0,2,2018.0,764000.0,2021-04-01,2021,2021-04
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,563 BEACH 72ND STREET,11692,2.0,0.0,2,2004.0,610000.0,2021-05-25,2021,2021-05
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,72-21 BURCHELL AVE,11692,2.0,0.0,2,1925.0,305552.0,2021-01-19,2021,2021-01
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,72-18 ELIZABETH AVENUE,11692,2.0,0.0,2,2003.0,400000.0,2021-09-17,2021,2021-09
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,244 BEACH BREEZE PLACE,11692,2.0,0.0,2,2004.0,910000.0,2021-01-21,2021,2021-01
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,130 MERIDIAN BOULEVARD,11692,2.0,0.0,2,2007.0,990000.0,2021-12-06,2021,2021-12
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,174 BEACH 73RD STREET,11692,2.0,0.0,2,2007.0,900000.0,2021-09-30,2021,2021-09
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,7110 BEACH FRONT ROAD,11692,2.0,0.0,2,2007.0,105000.0,2021-11-16,2021,2021-11
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,142 BEACH 74TH STREET,11692,2.0,0.0,2,2003.0,975000.0,2021-07-20,2021,2021-07
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,7317 SPINNAKER DRIVE,11692,2.0,0.0,2,2003.0,985000.0,2021-02-10,2021,2021-02
Queens,ARVERNE,03 THREE FAMILY DWELLINGS,357 BEACH 46 STREET,11691,3.0,0.0,3,2007.0,532365.0,2021-12-07,2021,2021-12
Queens,ARVERNE,03 THREE FAMILY DWELLINGS,311 BEACH 46 STREET,11691,3.0,0.0,3,1920.0,645000.0,2021-01-14,2021,2021-01
Queens,ARVERNE,03 THREE FAMILY DWELLINGS,3-27 BEACH 68 STREET,11692,3.0,0.0,3,1910.0,660000.0,2021-04-06,2021,2021-04
Queens,ARVERNE,03 THREE FAMILY DWELLINGS,633 BEACH 67 STREET,11692,3.0,0.0,3,1935.0,700000.0,2021-01-28,2021,2021-01
Queens,ARVERNE,03 THREE FAMILY DWELLINGS,536 BEACH 67 STREET,11692,3.0,0.0,3,1925.0,625000.0,2021-08-26,2021,2021-08
Queens,ARVERNE,04 TAX CLASS 1 CONDOS,"144 BEACH 62 STREET, 41",11692,1.0,,1,2007.0,554000.0,2021-12-23,2021,2021-12
Queens,ARVERNE,04 TAX CLASS 1 CONDOS,"135 BEACH 61 STREET, 86A",11692,1.0,,1,2007.0,340000.0,2021-06-03,2021,2021-06
Queens,ARVERNE,04 TAX CLASS 1 CONDOS,"135 BEACH 61 STREET, 86A",11692,1.0,,1,2007.0,510000.0,2021-05-13,2021,2021-05
Queens,ARVERNE,04 TAX CLASS 1 CONDOS,"112 BEACH 62 STREET, 66",11692,1.0,,1,,330000.0,2021-03-19,2021,2021-03
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,N/A BEACH 47 STREET,11691,0.0,0.0,0,,150000.0,2021-03-24,2021,2021-03
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,N/A BEACH 47 STREET,11691,0.0,0.0,0,,185000.0,2021-03-23,2021,2021-03
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,N/A BEACH 46 STREET,11691,0.0,0.0,0,,215000.0,2021-01-29,2021,2021-01
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,N/A ROCKAWAY BEACH BLVD,11691,0.0,0.0,0,,100000.0,2021-01-20,2021,2021-01
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,526 B 44TH STREET,11691,0.0,0.0,0,,26250.0,2021-07-12,2021,2021-07
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,N/A DECOSTA AVENUE,11692,0.0,0.0,0,,712500.0,2021-11-30,2021,2021-11
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,N/A BEACH 67 STREET,11692,0.0,0.0,0,,700000.0,2021-01-28,2021,2021-01
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,5-45 BEACH 68 STREET,11692,0.0,0.0,0,,150000.0,2021-04-16,2021,2021-04
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,N/A ELIZABETH AVENUE,11692,0.0,0.0,0,,200000.0,2021-01-21,2021,2021-01
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,69-47 ELIZABETH AVENUE,11692,0.0,0.0,0,,200000.0,2021-01-21,2021,2021-01
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,74-37 HILLMEYER AVENUE,11692,0.0,0.0,0,,80000.0,2021-12-10,2021,2021-12
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,72-12 BURCHELL AVENUE,11692,2.0,0.0,2,2021.0,834965.0,2021-09-02,2021,2021-09
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,72-16 BURCHELL AVENUE,11692,2.0,0.0,2,2021.0,835000.0,2021-08-23,2021,2021-08
Queens,ARVERNE,05 TAX CLASS 1 VACANT LAND,72-18 BURCHELL AVENUE,11692,2.0,0.0,2,2021.0,810000.0,2021-09-02,2021,2021-09
Queens,ARVERNE,07 RENTALS - WALKUP APARTMENTS,455 BEACH 36TH STREET,11691,4.0,0.0,4,1931.0,1322000.0,2021-09-30,2021,2021-09
Queens,ARVERNE,26 OTHER HOTELS,43-17 ROCKAWAY BEACH BLVD,11691,0.0,94.0,94,2012.0,25000000.0,2021-08-26,2021,2021-08
Queens,ARVERNE,27 FACTORIES,51-17 ROCKAWAY BEACH BLVD,11691,0.0,1.0,1,1931.0,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,27 FACTORIES,50-01 ROCKAWAY BEACH BLVD,11691,0.0,1.0,1,1949.0,7750000.0,2021-04-09,2021,2021-04
Queens,ARVERNE,29 COMMERCIAL GARAGES,49-17 ROCKAWAY BEACH BLVD,11691,0.0,0.0,0,,7750000.0,2021-04-09,2021,2021-04
Queens,ARVERNE,29 COMMERCIAL GARAGES,349 BEACH 73 STREET,11692,0.0,1.0,1,1920.0,410000.0,2021-04-29,2021,2021-04
Queens,ARVERNE,30 WAREHOUSES,602 BEACH 63 STREET,11692,0.0,1.0,1,1965.0,1500000.0,2021-02-23,2021,2021-02
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,5119 BEACH CHANNEL DRIVE,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A BEACH 53RD STREET,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A BEACH 53RD STREET,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A ROCKAWAY BEACH BOULE,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A ROCKAWAY BEACH BOULE,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A ROCKAWAY BEACH BOULE,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A BEACH 50 STREET,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A BEACH 50 STREET,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,31 COMMERCIAL VACANT LAND,N/A BEACH 50 STREET,11691,0.0,0.0,0,,90400000.0,2021-11-18,2021,2021-11
Queens,ARVERNE,36 OUTDOOR RECREATIONAL FACILITIES,N/A ELIZABETH AVENUE,11692,0.0,0.0,0,,500000.0,2021-07-13,2021,2021-07
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,14-32 30TH DRIVE,11102,1.0,0.0,1,1920.0,999000.0,2021-10-20,2021,2021-10
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,2305 33RD ROAD,11106,1.0,0.0,1,1945.0,843000.0,2021-02-18,2021,2021-02
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,23-03 33RD ROAD,11106,1.0,0.0,1,1945.0,874888.0,2021-09-22,2021,2021-09
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,34-35 29TH STREET,11106,1.0,1.0,2,1955.0,1700000.0,2021-05-14,2021,2021-05
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,2816 37 STREET,11103,1.0,0.0,1,1940.0,999000.0,2021-11-17,2021,2021-11
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,32-38 38 STREET,11103,1.0,0.0,1,1910.0,860000.0,2021-02-10,2021,2021-02
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,30-29 37TH STREET,11103,1.0,0.0,1,1940.0,1250000.0,2021-08-25,2021,2021-08
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,30-33 37TH STREET,11103,1.0,0.0,1,1940.0,1050000.0,2021-11-30,2021,2021-11
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,32-40 43RD STREET,11103,1.0,0.0,1,1940.0,950000.0,2021-08-03,2021,2021-08
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,31-23 43RD STREET,11103,1.0,0.0,1,1920.0,925000.0,2021-02-25,2021,2021-02
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,25-63 43RD STREET,11103,1.0,0.0,1,1930.0,1055000.0,2021-05-21,2021,2021-05
Queens,ASTORIA,01 ONE FAMILY DWELLINGS,32-62 46TH STREET,11103,1.0,0.0,1,1940.0,1100000.0,2021-05-25,2021,2021-05
