borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,4732 AMBOY ROAD,10312,1.0,0.0,1,2002.0,764000.0,2022-06-30,2022,2022-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,26 EDWIN STREET,10312,1.0,0.0,1,1980.0,1098000.0,2022-08-19,2022,2022-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,255 KOCH BOULEVARD,10312,1.0,0.0,1,1970.0,890000.0,2022-01-03,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,107 NOEL STREET,10312,1.0,0.0,1,1989.0,1050000.0,2022-08-31,2022,2022-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,118 ELMBANK STREET,10312,1.0,0.0,1,1975.0,910000.0,2022-04-05,2022,2022-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,192 BATHGATE STREET,10312,1.0,0.0,1,1930.0,430000.0,2022-05-16,2022,2022-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,14 SANDGAP STREET,10312,1.0,0.0,1,1915.0,250000.0,2022-12-21,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,26 SEGUINE PLACE,10312,1.0,0.0,1,1986.0,548888.0,2022-06-09,2022,2022-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,32 MAY PLACE,10312,1.0,0.0,1,1986.0,760000.0,2022-11-10,2022,2022-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,35 EAGAN AVENUE,10312,1.0,0.0,1,1986.0,600000.0,2022-07-22,2022,2022-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,94 SEGUINE PLACE,10312,1.0,0.0,1,1986.0,565000.0,2022-05-24,2022,2022-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,89 JEANETTE AVENUE,10312,1.0,0.0,1,1960.0,685000.0,2022-04-13,2022,2022-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,79 JEANNETTE AVENUE,10312,1.0,0.0,1,1935.0,670000.0,2022-10-04,2022,2022-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,48 EAGAN AVENUE,10312,1.0,0.0,1,2000.0,630000.0,2022-12-27,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,26 EAGAN AVENUE,10312,1.0,0.0,1,1992.0,640000.0,2022-07-22,2022,2022-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,53 BARB STREET,10312,1.0,0.0,1,2004.0,675000.0,2022-09-01,2022,2022-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,40 ENDVIEW STREET,10312,1.0,0.0,1,2003.0,660000.0,2022-07-06,2022,2022-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,998 ARDEN AVENUE,10312,1.0,0.0,1,2005.0,698000.0,2022-03-23,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,924 CARLTON BOULEVARD,10312,1.0,0.0,1,1910.0,990000.0,2022-05-17,2022,2022-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,760 ARDEN AVENUE,10312,1.0,0.0,1,1925.0,635000.0,2022-05-02,2022,2022-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,149 EDGEGROVE AVENUE,10312,1.0,0.0,1,1915.0,800000.0,2022-03-01,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,624 DRUMGOOLE ROAD EAST,10312,1.0,0.0,1,1930.0,933500.0,2022-09-15,2022,2022-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,614 DRUMGOOLE ROAD E,10312,1.0,0.0,1,1960.0,650000.0,2022-08-08,2022,2022-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,998 DRUMGOOLE ROAD WEST,10312,1.0,0.0,1,1960.0,450000.0,2022-02-16,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,295 JEFFERSON BOULEVARD,10312,1.0,0.0,1,1990.0,860000.0,2022-06-06,2022,2022-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,224 STAFFORD AVENUE,10312,1.0,0.0,1,2000.0,725000.0,2022-03-17,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,194 VINELAND AVENUE,10312,1.0,0.0,1,1970.0,680000.0,2022-12-19,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,165 STAFFORD AVENUE,10312,1.0,0.0,1,1970.0,95900.0,2022-10-20,2022,2022-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,8 ROGERS PLACE,10312,1.0,0.0,1,1989.0,1590000.0,2022-10-31,2022,2022-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,36 MOSELY AVENUE,10312,1.0,0.0,1,1920.0,960000.0,2022-09-07,2022,2022-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,57 MOSELY AVENUE,10312,1.0,0.0,1,1920.0,500000.0,2022-12-16,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,4969 AMBOY ROAD,10312,1.0,0.0,1,1960.0,830000.0,2022-03-10,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,22 HILLIS STREET,10312,1.0,0.0,1,1960.0,850000.0,2022-12-09,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,19 FURMAN STREET,10312,1.0,0.0,1,1970.0,665000.0,2022-05-25,2022,2022-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,49 FURMAN STREET,10312,1.0,0.0,1,2012.0,1120000.0,2022-06-07,2022,2022-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,32 BUFFINGTON AVENUE,10312,1.0,0.0,1,1974.0,800000.0,2022-12-20,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,230 IONIA AVENUE,10312,1.0,0.0,1,1960.0,760000.0,2022-12-09,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,247 RATHBUN AVENUE,10312,1.0,0.0,1,1920.0,357000.0,2022-02-23,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,279 SHELDON AVENUE,10312,1.0,0.0,1,1974.0,755000.0,2022-01-24,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,329 SHELDON AVENUE,10312,1.0,0.0,1,2002.0,825000.0,2022-08-11,2022,2022-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,223 SINCLAIR AVENUE,10312,1.0,0.0,1,1965.0,835000.0,2022-08-15,2022,2022-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,17 HOLCOMB AVENUE,10312,1.0,0.0,1,1970.0,950000.0,2022-02-16,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,335 EDGEGROVE AVENUE,10312,1.0,0.0,1,1970.0,889163.0,2022-01-27,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,90 ALBEE AVENUE,10312,1.0,0.0,1,1979.0,749000.0,2022-01-25,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,403 EDGEGROVE AVENUE,10312,1.0,0.0,1,1976.0,885000.0,2022-01-19,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,467 IONIA AVENUE,10312,1.0,0.0,1,1970.0,840000.0,2022-06-13,2022,2022-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,84 RAMONA AVENUE,10312,1.0,0.0,1,1975.0,750000.0,2022-12-19,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,194 HEENAN AVE,10312,1.0,0.0,1,1975.0,750000.0,2022-12-07,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,388 RATHBUN AVENUE,10312,1.0,0.0,1,1969.0,555000.0,2022-12-14,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,89 RAMONA AVE,10312,1.0,0.0,1,1974.0,745000.0,2022-02-15,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,394 STAFFORD AVENUE,10312,1.0,0.0,1,1980.0,995000.0,2022-04-12,2022,2022-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,424 VINELAND AVENUE,10312,1.0,0.0,1,1992.0,1620000.0,2022-02-10,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,394 VINELAND AVENUE,10312,1.0,0.0,1,1992.0,1631000.0,2022-10-11,2022,2022-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,6 CROWN PLACE,10312,1.0,0.0,1,1986.0,1365000.0,2022-03-21,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,24 ALVINE AVENUE,10312,1.0,0.0,1,1930.0,720000.0,2022-02-24,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,123 PEARE PLACE,10312,1.0,0.0,1,1983.0,1125000.0,2022-04-22,2022,2022-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,12 BENNETT PLACE,10312,1.0,0.0,1,1988.0,1350000.0,2022-12-12,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,51 RYAN PLACE,10312,1.0,0.0,1,1984.0,1315000.0,2022-11-22,2022,2022-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,227 KINGHORN STREET,10312,1.0,0.0,1,1984.0,910000.0,2022-09-23,2022,2022-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,203 KINGHORN ST,10312,1.0,0.0,1,1983.0,1050000.0,2022-05-16,2022,2022-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,300 SHIRLEY AVENUE,10312,1.0,0.0,1,1955.0,999999.0,2022-09-08,2022,2022-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,39 TYNDALE STREET,10312,1.0,0.0,1,1990.0,1525000.0,2022-01-12,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,23 TYNDALE STREET,10312,1.0,0.0,1,1996.0,1952799.0,2022-07-27,2022,2022-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,152 JANSEN STREET,10312,1.0,0.0,1,1970.0,990000.0,2022-08-05,2022,2022-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,131 WEAVER STREET,10312,1.0,0.0,1,1970.0,960000.0,2022-10-05,2022,2022-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,6 WINSLOW PLACE,10312,1.0,0.0,1,2015.0,835000.0,2022-01-10,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,625 SYCAMORE STREET,10312,1.0,0.0,1,1945.0,702500.0,2022-02-25,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,621 SYCAMORE STREET,10312,1.0,0.0,1,1940.0,585000.0,2022-03-16,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,24 THIRD COURT,10312,1.0,0.0,1,1988.0,1515000.0,2022-12-19,2022,2022-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,596 BARCLAY AVENUE,10312,1.0,0.0,1,1996.0,950000.0,2022-06-30,2022,2022-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,264 TALLMAN STREET,10312,1.0,0.0,1,1990.0,100000.0,2022-07-21,2022,2022-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,240 BARCLAY AVENUE,10312,1.0,0.0,1,1975.0,700000.0,2022-07-01,2022,2022-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,286 BARCLAY AVENUE,10312,1.0,0.0,1,1975.0,945000.0,2022-01-12,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,76 RAE AVENUE,10312,1.0,0.0,1,1935.0,600000.0,2022-06-03,2022,2022-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,361 POILLON AVENUE,10312,1.0,0.0,1,1965.0,1275000.0,2022-03-04,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,40 ZEPHYR AVENUE,10312,1.0,0.0,1,1965.0,915000.0,2022-04-21,2022,2022-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,488 PHILIP AVENUE,10312,1.0,0.0,1,2002.0,1650000.0,2022-03-18,2022,2022-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,22 ALLEGRO STREET,10312,1.0,0.0,1,1998.0,1068888.0,2022-10-20,2022,2022-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,40 POILLON AVENUE,10312,1.0,0.0,1,1955.0,825000.0,2022-11-02,2022,2022-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,11 PHILIP AVENUE,10312,1.0,0.0,1,1975.0,825000.0,2022-04-13,2022,2022-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,5 NICOLOSI DRIVE,10312,1.0,0.0,1,1992.0,2250000.0,2022-07-01,2022,2022-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,165 NICOLOSI DRIVE,10312,1.0,0.0,1,2001.0,2025000.0,2022-10-13,2022,2022-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,120 NICOLOSI DRIVE,10312,1.0,0.0,1,1986.0,2300000.0,2022-02-15,2022,2022-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,55 NICOLOSI DRIVE,10312,1.0,0.0,1,1989.0,2585000.0,2022-11-18,2022,2022-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,5198 HYLAN BOULEVARD,10312,1.0,0.0,1,2011.0,820000.0,2022-05-06,2022,2022-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,4 RUGGLES STREET,10312,1.0,0.0,1,2002.0,1125000.0,2022-01-31,2022,2022-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,63 ARBUTUS AVENUE,10312,1.0,0.0,1,1950.0,937500.0,2022-09-23,2022,2022-09
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,172 BATHGATE STREET,10312,2.0,0.0,2,1996.0,800000.0,2022-04-21,2022,2022-04
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,160 BATHGATE STREET,10312,2.0,0.0,2,1995.0,785000.0,2022-11-15,2022,2022-11
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,55 SEGUINE PLACE,10312,2.0,0.0,2,1986.0,650000.0,2022-11-09,2022,2022-11
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,165 MOSELY AVENUE,10312,2.0,0.0,2,1986.0,870000.0,2022-09-12,2022,2022-09
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,92 JEANNETTE AVENUE,10312,2.0,0.0,2,2005.0,899000.0,2022-12-20,2022,2022-12
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,47 LUCY LOOP,10312,2.0,0.0,2,2000.0,706000.0,2022-04-11,2022,2022-04
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,58 EAGAN AVENUE,10312,2.0,0.0,2,1989.0,1180000.0,2022-07-13,2022,2022-07
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,19 JEANNETTE AVENUE,10312,2.0,0.0,2,2013.0,1175000.0,2022-11-08,2022,2022-11
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,25 LORRAINE AVENUE,10312,2.0,0.0,2,2015.0,1110000.0,2022-07-22,2022,2022-07
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,178 DETROIT AVENUE,10312,2.0,0.0,2,1920.0,999000.0,2022-08-03,2022,2022-08
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,650 DRUMGOOLE ROAD E,10312,2.0,0.0,2,1930.0,797000.0,2022-03-24,2022,2022-03
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,150 SINCLAIR AVENUE,10312,2.0,0.0,2,2020.0,499000.0,2022-06-28,2022,2022-06
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,219 VINELAND AVENUE,10312,2.0,0.0,2,2021.0,1191353.0,2022-03-09,2022,2022-03
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,20 SUMMIT PLACE,10312,2.0,0.0,2,1975.0,625000.0,2022-09-01,2022,2022-09
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,29 SUMMIT PLACE,10312,2.0,0.0,2,2014.0,1255000.0,2022-07-27,2022,2022-07
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,5125 AMBOY ROAD,10312,2.0,0.0,2,2004.0,1050000.0,2022-05-26,2022,2022-05
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,19 EAST TENAFLY AVENUE,10312,2.0,0.0,2,1975.0,805000.0,2022-03-28,2022,2022-03
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,16 NORTH RAILROAD STREET,10312,2.0,0.0,2,1990.0,856000.0,2022-10-07,2022,2022-10
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,123 SOUTH RAILROAD ST,10312,2.0,0.0,2,1993.0,998950.0,2022-02-17,2022,2022-02
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,145 SOUTH RAILROAD ST,10312,2.0,0.0,2,2003.0,885000.0,2022-09-07,2022,2022-09
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,249 EDGEGROVE AVENUE,10312,2.0,0.0,2,1945.0,925000.0,2022-02-10,2022,2022-02
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,241 IONIA AVENUE,10312,2.0,0.0,2,2013.0,1050000.0,2022-08-22,2022,2022-08
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,208 SINCLAIR AVENUE,10312,2.0,0.0,2,1992.0,890000.0,2022-07-26,2022,2022-07
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,188 SINCLAIR AVENUE,10312,2.0,0.0,2,1992.0,968000.0,2022-03-09,2022,2022-03
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,179 SINCLAIR AVENUE,10312,2.0,0.0,2,2002.0,1090000.0,2022-09-13,2022,2022-09
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,337 DETROIT AVENUE,10312,2.0,0.0,2,1975.0,989900.0,2022-06-29,2022,2022-06
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,400 EDGEGROVE AVENUE,10312,2.0,0.0,2,1975.0,845000.0,2022-08-15,2022,2022-08
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,224 KINGHORN STREET,10312,2.0,0.0,2,1982.0,1460000.0,2022-03-03,2022,2022-03
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,426 HAROLD AVENUE,10312,2.0,0.0,2,1996.0,934000.0,2022-02-24,2022,2022-02
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,24 PEARE PLACE,10312,2.0,0.0,2,1980.0,805000.0,2022-04-25,2022,2022-04
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,4801 HYLAN BOULEVARD,10312,2.0,0.0,2,1980.0,862500.0,2022-09-30,2022,2022-09
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,183 EDWIN STREET,10312,2.0,0.0,2,1975.0,970000.0,2022-03-31,2022,2022-03
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,34 DOMINICK LANE,10312,2.0,0.0,2,2005.0,1975000.0,2022-02-22,2022,2022-02
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,9 ZEPHYR AVENUE,10312,2.0,0.0,2,1996.0,1830000.0,2022-08-26,2022,2022-08
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,380 POILLON,10312,2.0,0.0,2,1987.0,120000.0,2022-04-01,2022,2022-04
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,460 PHILIP AVENUE,10312,2.0,0.0,2,1989.0,300000.0,2022-10-06,2022,2022-10
Staten Island,ANNADALE,02 TWO FAMILY DWELLINGS,5190 AMBOY ROAD,10312,2.0,0.0,2,2004.0,990000.0,2022-07-29,2022,2022-07
Staten Island,ANNADALE,03 THREE FAMILY DWELLINGS,22 MOSELY AVENUE,10312,3.0,0.0,3,1930.0,995900.0,2022-02-15,2022,2022-02
Staten Island,ANNADALE,04 TAX CLASS 1 CONDOS,"736 ANNADALE ROAD, B",10312,1.0,,1,2012.0,810000.0,2022-01-12,2022,2022-01
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A MOSELY AVENUE,10312,0.0,0.0,0,,960000.0,2022-09-07,2022,2022-09
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,227 EDGEGROVE AVENUE,10312,0.0,0.0,0,2022.0,425000.0,2022-01-11,2022,2022-01
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A EDGEGROVE AVENUE,10312,0.0,0.0,0,,435000.0,2022-09-13,2022,2022-09
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A SHELDON AVENUE,10312,0.0,0.0,0,,450000.0,2022-01-31,2022,2022-01
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A SHELDON AVENUE,10312,0.0,0.0,0,,450000.0,2022-01-31,2022,2022-01
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A SHELDON AVENUE,10312,0.0,0.0,0,,450000.0,2022-01-31,2022,2022-01
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A BOARDWALK AVENUE,10312,0.0,0.0,0,,31600.0,2022-12-19,2022,2022-12
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A DISCALA LANE,10309,0.0,0.0,0,,625000.0,2022-10-25,2022,2022-10
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A POILLON AVENUE,10309,0.0,0.0,0,,1100000.0,2022-01-26,2022,2022-01
Staten Island,ANNADALE,05 TAX CLASS 1 VACANT LAND,N/A HYLAN BOULEVARD,10309,0.0,0.0,0,,1100000.0,2022-01-26,2022,2022-01
Staten Island,ANNADALE,46 CONDO STORE BUILDINGS,"885 ANNADALE ROAD, 1",10312,,1.0,1,1975.0,150000.0,2022-01-10,2022,2022-01
Staten Island,ANNADALE,46 CONDO STORE BUILDINGS,"885 ANNADALE ROAD, 2",10312,,1.0,1,1975.0,440000.0,2022-10-24,2022,2022-10
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,64 CHATHAM STREET,10312,1.0,0.0,1,2007.0,985000.0,2022-02-22,2022,2022-02
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,20 CHATHAM STREET,10312,1.0,0.0,1,2014.0,755000.0,2022-01-26,2022,2022-01
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,14 CHATHAM STREET,10312,1.0,0.0,1,2014.0,750000.0,2022-01-05,2022,2022-01
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,17 WINSTON STREET,10312,1.0,0.0,1,2003.0,713000.0,2022-06-13,2022,2022-06
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,46 HINTON STREET,10312,1.0,0.0,1,2003.0,696000.0,2022-01-25,2022,2022-01
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,7 BENSON STREET,10312,1.0,0.0,1,2004.0,780000.0,2022-11-04,2022,2022-11
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,1238 ARTHUR KILL ROAD,10312,1.0,0.0,1,2005.0,675000.0,2022-12-07,2022,2022-12
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,20 KENILWORTH AVENUE,10312,1.0,0.0,1,2002.0,630000.0,2022-06-13,2022,2022-06
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,82 KENILWORTH AVENUE,10312,1.0,0.0,1,1995.0,599900.0,2022-11-15,2022,2022-11
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,383 WOODROW ROAD,10312,1.0,0.0,1,1970.0,523000.0,2022-06-02,2022,2022-06
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,179 PRESENTATION CIRCLE,10312,1.0,0.0,1,2012.0,675000.0,2022-12-12,2022,2022-12
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,98 PRESENTATION CIRCLE,10312,1.0,0.0,1,2011.0,719999.0,2022-10-24,2022,2022-10
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,95 PRESENTATION CIRCLE,10312,1.0,0.0,1,2011.0,275000.0,2022-12-07,2022,2022-12
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,95 PRESENTATION CIRCLE,10312,1.0,0.0,1,2011.0,750000.0,2022-11-16,2022,2022-11
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,119 PRESENTATION CIRCLE,10312,1.0,0.0,1,2011.0,728000.0,2022-01-07,2022,2022-01
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,47 ILYSSA WAY,10312,1.0,0.0,1,1996.0,452500.0,2022-08-12,2022,2022-08
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,301 ASPEN KNOLLS WAY,10312,1.0,0.0,1,2000.0,452000.0,2022-06-28,2022,2022-06
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,181 ASPEN KNOLLS WAY,10312,1.0,0.0,1,2000.0,415000.0,2022-11-30,2022,2022-11
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,227 ASPEN KNOLLS WAY,10312,1.0,0.0,1,2000.0,445000.0,2022-09-29,2022,2022-09
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,187 ASPEN KNOLLS WAY,10312,1.0,0.0,1,2000.0,370000.0,2022-03-01,2022,2022-03
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,201 ASPEN KNOLLS WAY,10312,1.0,0.0,1,2000.0,495000.0,2022-12-28,2022,2022-12
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,119 ASPEN KNOLLS WAY,10312,1.0,0.0,1,2001.0,427000.0,2022-02-03,2022,2022-02
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,63 ASPEN KNOLLS WAY,10312,1.0,0.0,1,2001.0,420000.0,2022-03-22,2022,2022-03
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,1294 ARTHUR KILL ROAD,10312,1.0,0.0,1,2004.0,450000.0,2022-01-13,2022,2022-01
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,31 BIANCA COURT,10312,1.0,0.0,1,2004.0,429000.0,2022-01-05,2022,2022-01
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,17 BIANCA COURT,10312,1.0,0.0,1,2004.0,420000.0,2022-01-27,2022,2022-01
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,40 ILYSSA WAY,10312,1.0,0.0,1,1996.0,510000.0,2022-10-28,2022,2022-10
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,48 ILYSSA WAY,10312,1.0,0.0,1,1996.0,513888.0,2022-05-11,2022,2022-05
